SKU,Price_ardes
N50703-12D7X-195064L,1299
90-GA2RZZ-00UANF,449
11349-03-20G,1299
912-V516-208,709
N50602-08D7-195071N,679
RX 7600 8G-F,579
NE64060019P1-1070L,699
N50803-16D7X-17603930,2649
11350-03-20G,849
GV-N1030D4-2GL,178
NE6406T019P1-1060D,849
912-V536-005,980
912-V531-057,2086
NE75070019K9-GB2050S,1254
GV-N5070GAMING OC-12GD,1434
90-GA5TZZ-00UANF,749
4711377115469,657
912-V530-014,5899
912-V812-080,922
90-GA41ZZ-00UANF,549
GV-N406TWF2OC-8GD,911
912-V812-056,384
90YV0LD0-M0NA00,579
RX9070XT-16G-E/OC,1599
90-GA3YZZ-00UANF,1869
90YV0JC4-M0NA00_OEM,657
N506T2-16D7-191073N,999
GV-N4060AERO-OC-8GD,778
RX9070XT-16G-A,1449
N730-4GD3V2,151
912-V397-214,580
GV-R9070GAMING OC-16GD,1338
912-V535-003,1017
GV-N5090AORUS M-32GD,5919
912-V532-029,1476
GV-R9070XTGAMING OC-16GD,1536
NE75060019P1-GB2063S,702
GV-N3060GAMING-OC-12GD-V2,619
912-V531-001,2899
GV-N507TWF3OC-16GD,1887
90YV0N12-M0NA00,694
90YV0L71-M0NA00,1549
90YV0MG0-M0NA00,1211
912-V537-005,767
912-V531-085,2049
GV-N3060WF2OC-12GD,611
VA5505RF41,184
912-V537-002,700
RX9060XT-16G-L/OC,861
11348-02-20G,1559
90YV0JZ0-M0NA00,929
NE75080019T2-GB2031Y,2358
912-V531-003,3049
912-V535-006,1087
11330-02-20G,1139
912-V516-003,697
RX 7800 XT 16G-E/OC,1285
VN3706RM82,870
GV-N4060EAGLE-OC-8GD,665
1A1-G00433800G,838
912-V809-4287,459
912-V537-004,675
RX7900XTX 24G-L/OC,1913
11350-04-20G,699
90-GA5LZZ-00UANF,629
NE7507T019T2-GB2031Y,1766
90-GA5CZZ-00UANF,659
NE75090019R5-GB2020G,5699
912-V530-011,6999
11350-02-20G,866
GV-N5090AORUSM ICE-32GD,5668
912-V530-012_O,5699
90YV0L70-M0NA00,1674
GV-N507TAERO OC-16GD_R,1999
11339-04-20G,737
VN3606TM82,748
RX9070-16G-A,1379
912-V812-056_R,359
912-V530-018,5799
GV-N4060GAMING-OC-8GD,709
GV-N5090GAMING OC-32GD,5233
11348-01-20G,1661
DP.Z4BWW.P01,599
NE75070019K9-GB2050A,1331
90YV0MH0-M0NA00,988
11349-01-20G,1419
912-V532-005,1220
11348-03-20G,1542
912-V530-012,5799
90YV0LY1-M0NA00,6349
90-GA5VZZ-00UANF,1549
NE75080019T2-GB2030P,2363
912-V531-286,2024
912-V515-017,949
90YV0M90-M0NA00,2449
90-GA5DZZ-00UANF,1549
90YV0J48-M0NA00,949
N507T3-16D7-176068N,1849
N50903-32D7X-17593928,5199
912-V532-002,1398
90-GA4AZZ-00UANF,2029
912-V812-025,386
912-V515-015,989
N506T2-08D7X-193075N,849
MSI GT710 2GD3H LP,99
GV-N406TEAGLE OC-8GD,999
90YV0LW2-M0NA00,6802
90-GA4XZZ-00UANF,1940
GV-R9060XTGAMING OC-16GD,940
N507T3-16D7X-176068N,1893
N406T2-08D6X-171153N,799
NE7507TS19T2-GB2031Y,1806
N506T2-08D7-193075N,829
