SKU,Price_laptopbg
RTX_3050_VENTUS_2X_XS_8G_OC,449
RX6600 CLD 8G,449
ASR-VC-RX6600-CLW-8G,535
RTX_3060_VENTUS_2X_12G_OC,619
RTX_4060_VENTUS_2X_BLACK_8G_OC,639
B580 SL 12GO,639
RTX_4060_VENTUS_2X_WHITE_8G_OC,645
ASR-VC-RX7600-SL-8GO,649
90YV0JC7-M0NA00,659
G5060-8V2CW,719
G5060-8V2C,719
G5060-8S2C,729
90YV0JC4-M0NA00,739
RX9060XT CL 8GO,749
G5060-8GC,769
4710562243925_3Y,849
90YV0J49-M0NA00,879
N406T2-08D6X-171153W,889
90YV0J47-M0NB00,899
N506T2-16D7-191073N,919
RTX_4060_TI_GAMING_X_8G,979
G506T-8GC,979
N506T2-16D7X-191073N,989
90YV0J4B-M0NA00,999
DUAL-RTX5060TI-O16G,1049
G506T-16V2P,1059
90YV0MH2-M0NA00,1099
90YV0MG0-M0NA00,1199
90YV0JJ1-M0NA00,1249
N50702-12D7-195064N,1299
N50702-12D7X-195064N,1339
G5070-12GTC,1419
N50703-12D7X-195064L,1429
90YV0M10-M0NA00,1439
PRIME-RX9070-O16G,1499
GV-N5070EAGLEOC ICE-12GD,1519
RX9070XT SL 16G,1519
TUF-RX9070-O16G-GAMING,1539
90YV0LZ0-M0NA00,1559
RX9070XT 16G-L/OC/WHITE,1639
RX-97TMAQKB9,1699
N507T3-16D7X-176068N,1819
G507T-16V3C,1929
N507T3-16D7X-176068W,1949
G507T-16GTC,2049
G507T-16GTCW,2069
90YV0MF0-M0NA00,2089
G507T-16VGS,2299
NE75080019T2-GB2030P,2359
NE75080019T2-GB2031Y,2359
90YV0M90-M0NA00,2379
NE75080019T2-GB2030G,2519
N50803-16D7-176068N,2549
N50803-16D7X-17603930,2599
G50803-16D7X-17603930,2669
G5080-16S3C,2719
GV-N5080AERO OC-16GD,2789
G5080-16V3CP,2799
G5080-16V3CW,2899
GV-N5080GAMING OC-16GD,3199
G5080-16SPS,3599
N50903-32D7X-17593928,5199
G5090-32V3C,5249
G5090-32VGS,5699
NE75090019R5-GB2020G,5699
G5090-32SPS,5999
VN2103NHG6,72
VN6103THX6,92
GT710_2GD3H/LP,99
VN7313TH41,139
N730-4GD3V2,149
GA-VC-N710D3-2GL,149
VA5505RF41,189
AXR7 240 4GBD5-HLEV2,219
ASUS GT1030-SL-2G-BRK,229
912-V812-025,389
V812-055R,399
VCNRTXA400ATX-PB,459
RTX_3050_VENTUS_2X_XS_WHITE_8G_OC,469
ASR-VC-RX7600-CL-8GO,549
B570 CL 10GO,569
PC-VC-RX7600-8GB-FIGHTER,579
DUAL-RX7600-O8G-EVO,589
NE64060019P1-1070F,639
NE64060019P1-1070L,649
GV-N4060WF2OC-8GD,659
GV-N4060EAGLE OC-8GD,669
